證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16,date
00875,國泰網路資安,"794,664",283,"21,540,468",27.21,27.21,27.07,27.10,-,0.11,27.10,37,27.11,5,0.00,,2020-12-02
00876,元大未來關鍵科技,"5,588,558","1,662","142,867,384",25.51,25.68,25.49,25.68,+,0.29,25.67,7,25.68,15,0.00,,2020-12-02
00878,國泰永續高股息,"17,380,263","4,728","269,729,260",15.50,15.56,15.47,15.54,+,0.07,15.54,416,15.55,88,0.00,,2020-12-02
01001T,土銀富邦R1,"43,000",30,"791,230",18.38,18.41,18.38,18.41,+,0.02,18.41,29,18.42,5,0.00,,2020-12-02
01002T,土銀國泰R1,"198,000",17,"3,718,820",18.79,18.81,18.75,18.75,-,0.04,18.73,1,18.79,13,0.00,,2020-12-02
01003T,兆豐新光R1,"18,000",10,"352,750",19.60,19.60,19.58,19.60, ,0.0,19.50,8,19.59,4,0.00,,2020-12-02
01004T,土銀富邦R2,"283,000",92,"4,787,610",16.94,16.97,16.90,16.97,+,0.09,16.96,5,16.97,36,0.00,,2020-12-02
01007T,兆豐國泰R2,"41,000",37,"809,780",19.75,19.80,19.60,19.80,+,0.25,19.61,1,19.79,1,0.00,,2020-12-02
01009T,王道圓滿R1,"5,000",4,"49,930",9.97,9.99,9.97,9.99,+,0.03,9.98,3,9.99,4,0.00,,2020-12-02
01010T,京城樂富R1,"104,000",9,"1,099,500",10.57,10.58,10.56,10.58, ,0.0,10.57,1,10.58,28,0.00,,2020-12-02
020000,富邦特選蘋果N,"31,000",9,"194,350",6.24,6.29,6.24,6.28,+,0.08,6.28,90,6.29,100,0.00,,2020-12-02
020002,元富新中國N,"9,000",1,"175,770",19.53,19.53,19.53,19.53,X,0.0,19.55,499,19.57,355,0.00,,2020-12-02
020004,兆豐電菁英30N,0,0,0,--,--,--,--, ,0.0,27.83,499,27.84,499,0.00,,2020-12-02
020006,永昌中小300N,0,0,0,--,--,--,--, ,0.0,25.90,100,25.91,106,0.00,,2020-12-02
020007,凱基臺灣500N,0,0,0,--,--,--,--, ,0.0,26.88,208,26.94,1,0.00,,2020-12-02
020008,元大特股高息N,"13,000",8,"145,860",11.22,11.22,11.22,11.22, ,0.0,11.22,100,11.23,100,0.00,,2020-12-02
020011,統一微波高息20N,"11,000",4,"56,640",5.18,5.20,5.12,5.15,+,0.02,5.15,498,5.16,494,0.00,,2020-12-02
020012,富邦行動通訊N,"170,000",13,"998,290",5.87,5.90,5.87,5.90,+,0.02,5.94,101,5.96,100,0.00,,2020-12-02
020015,統一MSCI美低波N,0,0,0,--,--,--,--, ,0.0,13.29,494,13.31,496,0.00,,2020-12-02
020016,統一MSCI美科技N,"1,000",1,"16,430",16.43,16.43,16.43,16.43, ,0.0,16.42,496,16.44,491,0.00,,2020-12-02
020018,統一價值成長30N,"251,000",33,"2,902,560",11.56,11.59,11.54,11.57,+,0.04,11.56,493,11.58,500,0.00,,2020-12-02
020019,統一特選台灣5GN,"942,000",143,"10,499,180",11.00,11.23,11.00,11.22,+,0.17,11.22,496,11.24,493,0.00,,2020-12-02
02001L,富邦蘋果正二N,0,0,0,--,--,--,--, ,0.0,8.68,100,8.70,100,0.00,,2020-12-02
02001R,富邦蘋果反一N,"20,000",1,"73,000",3.65,3.65,3.65,3.65,X,0.0,3.62,105,3.64,100,0.00,,2020-12-02
020020,元大台股領航N,"1,491,000",248,"8,176,920",5.44,5.52,5.44,5.51,+,0.07,5.50,551,5.51,486,0.00,,2020-12-02
1101,台泥,"14,541,457","4,114","627,343,221",43.15,43.20,43.00,43.20,+,0.05,43.15,23,43.20,146,10.29,,2020-12-02
1101B,台泥乙特,36,2,"1,929",--,--,--,--, ,0.0,53.20,10,53.60,14,0.00,,2020-12-02
1102,亞泥,"6,041,078","2,259","261,875,352",43.30,43.70,43.20,43.25,-,0.05,43.25,87,43.30,26,10.13,,2020-12-02
1103,嘉泥,"849,676",295,"15,499,016",18.35,18.40,18.20,18.30, ,0.0,18.25,3,18.30,66,34.53,,2020-12-02
1104,環泥,"1,530,435",846,"34,794,113",23.20,23.20,22.55,22.70,-,0.5,22.70,12,22.75,9,11.35,,2020-12-02
1108,幸福,"1,563,117",526,"18,395,210",11.90,11.95,11.65,11.65,-,0.25,11.65,113,11.70,1,12.66,,2020-12-02
1109,信大,"800,859",210,"16,485,998",20.70,20.70,20.50,20.70, ,0.0,20.60,25,20.70,36,7.75,,2020-12-02
1110,東泥,"51,757",37,"905,425",17.60,17.60,17.40,17.50,-,0.1,17.45,12,17.50,18,0.00,,2020-12-02
1201,味全,"1,288,468",546,"27,583,785",21.65,21.65,21.30,21.40,-,0.25,21.40,29,21.45,30,28.53,,2020-12-02
1203,味王,"61,268",71,"2,227,714",36.35,36.60,35.50,36.30,-,0.35,36.30,5,36.35,1,18.62,,2020-12-02
1210,大成,"1,641,717",773,"76,174,788",46.70,46.75,46.30,46.35,-,0.25,46.35,86,46.45,9,13.09,,2020-12-02
1213,大飲,"1,102",3,"9,325",8.50,8.50,8.50,8.50,+,0.15,8.31,1,8.58,1,0.00,,2020-12-02
1215,卜蜂,"842,341",682,"59,610,877",71.00,71.00,70.60,70.90,-,0.2,70.90,2,71.00,36,10.78,,2020-12-02
1216,統一,"14,934,270","5,053","978,340,680",65.50,65.90,65.30,65.30,-,0.8,65.30,335,65.40,9,17.84,,2020-12-02
1217,愛之味,"2,782,106",726,"22,977,487",8.30,8.30,8.24,8.25,-,0.03,8.25,333,8.26,5,20.12,,2020-12-02
1218,泰山,"778,500",278,"18,267,575",23.35,23.60,23.35,23.50,+,0.05,23.50,71,23.55,12,14.87,,2020-12-02
1219,福壽,"703,935",290,"13,805,349",19.55,19.70,19.55,19.60,+,0.05,19.55,29,19.60,6,10.43,,2020-12-02
1220,台榮,"802,068",211,"9,961,592",12.50,12.50,12.40,12.45,+,0.05,12.40,246,12.45,42,12.97,,2020-12-02
1225,福懋油,"36,116",24,"1,155,774",32.00,32.15,31.95,32.15,+,0.15,32.10,1,32.20,1,21.72,,2020-12-02
1227,佳格,"3,161,963","2,249","194,665,659",62.00,62.00,61.40,61.40,-,0.6,61.30,155,61.40,917,15.87,,2020-12-02
1229,聯華,"1,880,423","1,226","77,787,476",41.55,41.60,41.25,41.30,-,0.25,41.30,113,41.35,17,19.57,,2020-12-02
1231,聯華食,"356,996",308,"16,199,748",45.65,45.70,43.00,44.65,-,0.95,44.65,2,45.40,1,12.58,,2020-12-02
1232,大統益,"38,738",161,"4,804,164",124.00,124.00,123.50,123.50,-,1.0,123.50,37,124.00,10,17.98,,2020-12-02
1233,天仁,"25,411",22,"909,546",35.90,35.90,35.75,35.80,-,0.1,35.75,2,35.80,9,47.11,,2020-12-02
1234,黑松,"297,994",132,"9,859,473",33.00,33.30,33.00,33.00, ,0.0,33.00,20,33.10,1,15.07,,2020-12-02
1235,興泰,"58,284",45,"1,485,662",25.40,25.70,25.40,25.60,+,0.25,25.55,3,25.80,2,32.82,,2020-12-02
1236,宏亞,"216,552",151,"3,017,886",13.65,14.45,13.65,14.20,+,0.6,14.15,1,14.35,2,47.33,,2020-12-02
1256,鮮活果汁-KY,"23,903",170,"7,544,671",318.00,318.00,314.00,315.00,-,4.0,315.00,6,318.50,1,15.17,,2020-12-02
1301,台塑,"9,639,627","3,127","842,234,495",86.40,88.00,86.40,87.70,+,0.1,87.60,3,87.70,28,44.74,,2020-12-02
1303,南亞,"8,368,563","2,161","547,532,681",64.90,66.00,64.80,65.60,-,0.4,65.50,59,65.60,38,29.42,,2020-12-02
1304,台聚,"12,254,069","5,122","243,421,761",20.20,20.20,19.70,19.75,-,0.45,19.75,23,19.80,22,15.19,,2020-12-02
1305,華夏,"9,360,446","3,460","212,900,488",23.30,23.30,22.50,22.55,-,0.6,22.50,456,22.55,142,14.64,,2020-12-02
1307,三芳,"250,433",136,"5,699,651",23.00,23.00,22.65,22.80, ,0.0,22.75,1,22.80,2,43.02,,2020-12-02
1308,亞聚,"1,468,178",614,"28,102,559",19.30,19.30,19.05,19.20,-,0.05,19.20,64,19.25,74,13.43,,2020-12-02
1309,台達化,"10,820,001","4,731","343,782,603",32.40,32.55,31.35,31.40,-,0.8,31.40,176,31.45,13,8.92,,2020-12-02
1310,台苯,"2,797,001",859,"48,658,674",17.50,17.50,17.25,17.45,-,0.05,17.40,56,17.45,40,0.00,,2020-12-02
1312,國喬,"21,867,178","7,610","502,249,421",23.60,23.60,22.65,22.70,-,0.85,22.70,329,22.75,148,8.63,,2020-12-02
1312A,國喬特,"6,000",6,"184,100",30.80,31.35,30.35,31.35,+,0.45,30.40,1,31.35,17,0.00,,2020-12-02
1313,聯成,"11,921,094","4,485","202,475,119",17.45,17.50,16.80,16.80,-,0.5,16.80,679,16.85,18,27.54,,2020-12-02
1314,中石化,"70,771,889","12,675","660,993,613",9.19,9.44,9.16,9.39,+,0.24,9.38,263,9.39,316,46.95,,2020-12-02
1315,達新,"292,561",249,"21,159,520",72.20,72.80,71.80,72.40,+,0.5,72.40,12,72.50,1,1.82,,2020-12-02
1316,上曜,"753,680",251,"9,372,782",12.35,12.55,12.30,12.35,-,0.15,12.35,4,12.40,22,0.00,,2020-12-02
1319,東陽,"1,363,540",881,"53,004,002",39.30,39.50,38.70,38.75,-,0.55,38.75,47,38.80,4,20.18,,2020-12-02
1321,大洋,"219,002",133,"7,795,570",36.00,36.00,35.50,35.55,-,0.2,35.55,1,35.60,4,13.78,,2020-12-02
1323,永裕,"37,604",29,"1,240,385",33.00,33.10,32.95,33.05,-,0.05,33.00,1,33.05,7,10.20,,2020-12-02
1324,地球,"66,678",35,"684,266",10.25,10.30,10.20,10.30, ,0.0,10.25,4,10.30,5,46.82,,2020-12-02
1325,恆大,"2,689,768","1,966","281,110,909",106.00,107.00,103.00,103.00,-,3.0,103.00,150,103.50,18,6.13,,2020-12-02
1326,台化,"7,481,917","2,788","589,294,075",78.10,79.20,77.60,78.90, ,0.0,78.80,128,78.90,86,37.04,,2020-12-02
1337,再生-KY,"5,644,512","2,240","60,396,236",10.70,10.70,10.70,10.70,+,0.96,10.70,"31,839",--,0,0.00,,2020-12-02
