證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16,date
0050,元大台灣50,"10,228,786","8,143","1,050,887,316",103.15,103.45,102.30,103.40,+,0.4,103.40,35,103.45,66,0.00,,2020-11-02
0051,元大中型100,"27,226",23,"1,059,235",39.22,39.22,38.70,38.82,-,0.28,38.75,1,38.82,3,0.00,,2020-11-02
0052,富邦科技,"1,238,957",347,"111,779,782",90.90,91.50,89.90,91.00,+,0.1,91.00,2,91.20,1,0.00,,2020-11-02
0053,元大電子,"8,000",8,"392,060",49.16,49.16,48.93,49.13,-,0.21,49.13,52,49.40,1,0.00,,2020-11-02
0054,元大台商50,"2,000",2,"48,910",24.46,24.46,24.45,24.45,-,0.15,24.57,50,24.77,20,0.00,,2020-11-02
0055,元大MSCI金融,"43,001",26,"740,647",17.24,17.30,17.16,17.30,+,0.14,17.30,13,17.33,1,0.00,,2020-11-02
0056,元大高股息,"31,242,373","17,053","864,806,517",27.80,27.85,27.60,27.72,-,0.08,27.71,135,27.72,220,0.00,,2020-11-02
0057,富邦摩台,"23,000",5,"1,551,450",67.15,67.75,67.15,67.75,-,0.15,67.75,9,68.10,25,0.00,,2020-11-02
0061,元大寶滬深,"205,653",95,"4,403,833",21.60,21.60,21.38,21.38,-,0.17,21.38,27,21.40,35,0.00,,2020-11-02
006203,元大MSCI台灣,"3,045",4,"145,065",47.70,47.70,47.57,47.63,-,0.49,48.06,32,48.15,35,0.00,,2020-11-02
006204,永豐臺灣加權,31,1,"1,908",--,--,--,--, ,0.0,61.65,10,61.90,10,0.00,,2020-11-02
006205,富邦上証,"1,890,505",227,"65,127,987",34.74,34.74,34.31,34.38,-,0.36,34.36,1,34.38,62,0.00,,2020-11-02
006206,元大上證50,"492,000",91,"17,441,760",35.83,35.83,35.26,35.26,-,0.44,35.26,25,35.27,100,0.00,,2020-11-02
006207,FH滬深,"237,000",57,"6,617,520",27.69,28.13,27.69,27.97,-,0.18,27.97,25,28.00,25,0.00,,2020-11-02
006208,富邦台50,"1,911,280",653,"112,242,184",58.90,59.05,58.45,59.00,+,0.2,59.00,10,59.10,1,0.00,,2020-11-02
00625K,富邦上証+R,"50,000",2,"405,500",8.11,8.11,8.11,8.11,-,0.1,8.00,5,8.22,5,0.00,,2020-11-02
00631L,元大台灣50正2,"2,630,300",913,"167,047,370",63.85,64.00,62.90,64.00,+,0.5,63.95,10,64.00,5,0.00,,2020-11-02
00632R,元大台灣50反1,"105,457,393","8,559","885,781,034",8.38,8.44,8.36,8.37,-,0.03,8.37,538,8.38,"9,787",0.00,,2020-11-02
00633L,富邦上証正2,"6,541,000","1,420","379,333,000",58.25,58.75,57.50,57.60,-,0.55,57.60,731,57.65,1,0.00,,2020-11-02
00634R,富邦上証反1,"1,239,000",97,"5,600,670",4.51,4.53,4.50,4.52,+,0.01,4.52,164,4.53,79,0.00,,2020-11-02
00635U,元大S&P黃金,"460,574",180,"11,852,843",25.65,25.79,25.65,25.74,+,0.12,25.73,7,25.75,4,0.00,,2020-11-02
00636,國泰中國A50,"661,701",127,"16,178,829",24.60,24.60,24.39,24.40,-,0.2,24.40,9,24.41,3,0.00,,2020-11-02
00636K,國泰中國A50+U,100,1,851,8.51,8.51,8.51,8.51,-,0.03,8.44,15,8.56,15,0.00,,2020-11-02
00637L,元大滬深300正2,"53,622,300","5,910","1,214,458,372",22.73,22.92,22.45,22.50,-,0.27,22.50,404,22.51,5,0.00,,2020-11-02
00638R,元大滬深300反1,"1,116,000",122,"10,092,890",9.06,9.07,8.99,9.05,+,0.03,9.05,137,9.06,93,0.00,,2020-11-02
00639,富邦深100,"1,725,043",274,"25,785,343",14.92,15.00,14.73,14.97,+,0.04,14.97,7,14.98,10,0.00,,2020-11-02
00640L,富邦日本正2,"1,588,056",196,"31,080,996",19.55,19.74,19.43,19.52,+,0.57,19.52,2,19.56,79,0.00,,2020-11-02
00641R,富邦日本反1,"694,000",73,"9,236,670",13.35,13.38,13.27,13.33,-,0.25,13.33,83,13.35,3,0.00,,2020-11-02
00642U,元大S&P石油,"28,861,165","4,307","194,361,131",6.74,6.78,6.71,6.74,-,0.14,6.74,54,6.75,242,0.00,,2020-11-02
00643,群益深証中小,"408,514",116,"7,103,786",17.47,17.47,17.29,17.45,-,0.05,17.40,2,17.45,22,0.00,,2020-11-02
00643K,群益深証中小+R,0,0,0,--,--,--,--, ,0.0,4.04,2,4.16,1,0.00,,2020-11-02
00645,富邦日本,"368,338",28,"7,702,014",20.88,21.01,20.87,20.90,+,0.32,20.87,50,20.90,27,0.00,,2020-11-02
